Aggregation analysis	PioViewer 1.10.22.11														
File	 D:\Sulva\Apple_Jesolver\AcAdAh.cfr														
Action Line	Root														
Flop	Global %	OOP Equity	OOP EV	OOP EQR	IP Equity	IP EV	IP EQR	BET 22%	BET 22 EV	BET 15%	BET 15 EV	BET 9%	BET 9 EV	CHECK%	CHECK EV
8c 6d 6c	100	53.59	14.6029	90.8358	46.41	15.3972	110.581	0.27	20.78	1.38	19.01	19.59	17.75	78.76	13.72
8c 6d 2c	100	52.63	14.5853	92.3709	47.37	15.4147	108.477	13.24	20.18	7.51	18.89	10.16	17.23	69.1	12.66
8c 6d 3c	100	52.09	14.3957	92.1125	47.91	15.6044	108.578	13.6	20.2	7.31	18.93	7.38	17.24	71.7	12.54
8c 6d 4c	100	51.84	13.8611	89.1358	48.16	16.1392	111.694	10.31	19.63	7.28	18.83	2.99	17.47	79.42	12.52
8c 6d 5c	100	50.13	12.024	79.951	49.87	17.9762	120.155	0.04	22.07	0.08	19.37	0.26	17.28	99.62	12
8c 7c 2c	100	52.26	15.2394	97.2052	47.74	14.7602	103.056	1.38	21.02	3.02	19.54	28.49	17.86	67.11	13.81
8c 7c 2d	100	51.96	14.5301	93.2187	48.04	15.47	107.334	11.96	20.47	6.56	19.21	8.35	17.55	73.12	12.79
8c 7c 3c	100	51.93	15.1569	97.2937	48.07	14.843	102.922	1.55	20.87	3.02	19.51	28.11	17.89	67.32	13.69
8c 7c 3d	100	51.4	14.2331	92.2984	48.6	15.7673	108.149	10.13	20.43	6.36	19.17	6.98	17.64	76.53	12.69
8c 7c 4c	100	51.49	14.4887	93.7994	48.51	15.5106	106.576	0.49	19.92	1.94	18.94	18.64	17.75	78.93	13.57
8c 7c 4d	100	51.31	13.4727	87.5322	48.69	16.5274	113.137	1.39	19.77	3.84	19.01	9.2	17.75	85.57	12.66
8c 7c 5c	100	51.53	14.5894	94.3671	48.47	15.4113	105.994	0.57	19.52	2.84	19.04	18.78	17.86	77.81	13.6
8c 7c 5d	100	51.25	13.9573	90.7752	48.75	16.0429	109.7	3.28	19.98	6.18	19.3	11.17	17.88	79.37	12.74
8c 7c 6c	100	51.62	14.4891	93.5546	48.38	15.5106	106.876	0.33	19.77	2.01	18.78	19.35	18.19	78.31	13.44
8c 7c 6d	100	51.47	14.0763	91.1687	48.53	15.9239	109.366	2.55	19.79	10.58	19.17	7.94	18.13	78.92	12.8
8c 7d 7c	100	52.57	13.5207	85.7382	47.43	16.48	115.809	0.1	21.4	0.22	18.92	0.93	17.59	98.75	13.46
8c 7d 2c	100	51.96	14.5752	93.5096	48.04	15.4247	107.018	12.77	20.54	5.87	19.26	8.02	17.52	73.34	12.84
8c 7d 3c	100	51.48	14.3748	93.0834	48.52	15.6255	107.339	11.91	20.44	6.5	19.19	6.31	17.57	75.28	12.73
8c 7d 4c	100	51.24	13.449	87.4886	48.76	16.551	113.148	1.12	19.71	3.87	18.98	8.83	17.76	86.18	12.68
8c 7d 5c	100	51.19	13.904	90.5438	48.81	16.0961	109.917	2.52	19.98	6.1	19.3	10.67	17.88	80.7	12.78
8c 7d 6c	100	51.36	13.9686	90.6549	48.64	16.0314	109.869	2.29	19.8	9.49	19.13	7.65	18.14	80.57	12.8
8d 8c 2c	100	54.85	15.2573	92.7169	45.15	14.7425	108.848	0.21	18.73	1.15	17.85	34.95	17.57	63.68	13.93
8d 8c 3c	100	54.24	15.0713	92.6207	45.76	14.9287	108.747	0.18	18.59	1.26	17.77	33.05	17.51	65.51	13.78
8d 8c 4c	100	54.62	14.9571	91.2859	45.38	15.043	110.488	0.11	19.4	1.08	17.66	28.3	17.48	70.51	13.9
8d 8c 5c	100	53.74	14.5291	90.1195	46.26	15.4714	111.482	0.1	20.29	0.95	17.92	21.38	17.48	77.57	13.67
8d 8c 6c	100	53.65	14.5691	90.5115	46.35	15.431	110.986	0.18	19.95	1.1	18.27	19.17	17.51	79.55	13.8
8d 8c 7c	100	53.15	14.5459	91.224	46.85	15.4541	109.957	0.26	20.03	1.26	18.3	19.08	17.52	79.39	13.75
8h 8d 8c	100	57.05	17.7809	103.898	42.95	12.2191	94.8236	12.43	18.21	46.64	17.94	40.57	17.5	0.35	13.41
8d 3c 2c	100	53.34	15.2699	95.4158	46.66	14.7304	105.243	11.47	19.87	12.78	18.54	20.48	17.44	55.28	12.75
8d 4c 2c	100	53.43	14.7711	92.1483	46.57	15.2291	109.01	10.35	19.66	9.09	18.54	18.9	17.23	61.66	12.64
8d 4c 3c	100	52.84	14.6166	92.2108	47.16	15.3836	108.728	10.99	19.64	10.74	18.56	14.2	17.21	64.07	12.52
8d 5c 2c	100	52.58	14.2013	90.0235	47.42	15.7989	111.065	9.85	19.85	8.18	18.64	10.18	17.21	71.8	12.5
8d 5c 3c	100	51.99	14.059	90.1309	48.01	15.9413	110.691	10.94	19.82	8.49	18.66	6.94	17.18	73.63	12.38
8d 5c 4c	100	50.89	12.5623	82.2848	49.11	17.4379	118.359	0.74	19.17	2.15	18.64	2.4	17.46	94.71	12.25
8d 6c 2c	100	52.58	14.5253	92.0793	47.42	15.4748	108.784	13.19	20.09	7.55	18.85	9.87	17.21	69.39	12.61
8d 6c 3c	100	51.99	14.2609	91.4286	48.01	15.7394	109.285	12.86	20.11	6.91	18.9	6.97	17.24	73.26	12.51
8d 6c 4c	100	51.89	13.9065	89.3373	48.11	16.0934	111.498	9.77	19.61	8.93	18.79	3.1	17.44	78.2	12.5
8d 6c 5c	100	50.18	12.0436	79.9997	49.82	17.9568	120.149	0.04	22.96	0.08	18.92	0.27	17.47	99.61	12.02
8d 7c 2c	100	51.99	14.6291	93.7938	48.01	15.3711	106.722	13.11	20.51	6.37	19.24	8.67	17.49	71.85	12.8
8d 7c 3c	100	51.43	14.3201	92.8184	48.57	15.6802	107.605	11.03	20.38	6.57	19.14	7.11	17.58	75.3	12.7
8d 7c 4c	100	51.25	13.4682	87.5946	48.75	16.5317	113.042	1.49	19.69	4.39	18.91	8.22	17.73	85.9	12.67
8d 7c 5c	100	51.22	13.9456	90.7486	48.78	16.0545	109.716	3.08	19.93	6.45	19.28	10.7	17.85	79.77	12.76
8d 7c 6c	100	51.47	14.0752	91.1482	48.53	15.9249	109.39	2.61	19.77	10.8	19.16	7.97	18.07	78.62	12.78
8h 8d 2c	100	55.14	15.3042	92.5229	44.86	14.6961	109.191	0.27	17.96	2.85	17.79	38.46	17.65	58.42	13.63
8h 8d 3c	100	54.39	15.0075	91.9793	45.61	14.9924	109.563	0.34	18.09	3.2	17.75	33.19	17.61	63.27	13.49
8h 8d 4c	100	54.99	15.1016	91.5493	45.01	14.8983	110.322	0.19	17.91	2.04	17.6	34.62	17.58	63.14	13.65
8h 8d 5c	100	54.05	14.4825	89.3168	45.95	15.5175	112.566	0.16	18.65	1.18	17.61	24.02	17.52	74.64	13.45
8h 8d 6c	100	54.02	14.593	90.0448	45.98	15.4073	111.699	0.14	19.17	0.99	17.5	25.05	17.41	73.82	13.59
8h 8d 7c	100	53.36	14.4628	90.339	46.64	15.5376	111.058	0.17	19.73	0.99	17.57	23.33	17.32	75.51	13.53
8h 2d 2c	100	54.94	15.4905	93.9867	45.06	14.5093	107.33	12.02	18.04	16.95	17.77	28	17.02	43.02	12.89
8h 3d 3c	100	53.93	14.2939	88.3531	46.07	15.7063	113.633	1.58	17.71	12.59	17.4	19.19	16.84	66.64	12.89
8h 3d 2c	100	53.38	15.3122	95.6113	46.62	14.6882	105.028	24.32	19.08	19.12	18.2	3.45	17.26	53.1	12.42
8h 4d 4c	100	55.09	15.677	94.8642	44.91	14.3232	106.301	2.5	18.29	19.34	17.98	34.12	17.39	44.05	13.19
8h 4d 2c	100	53.57	14.716	91.5765	46.43	15.2842	109.719	26.06	18.65	13.64	17.8	1.78	16.88	58.51	12.18
8h 4d 3c	100	52.83	14.4171	90.9655	47.17	15.5832	110.121	24.02	18.77	11.83	17.86	1.17	16.91	62.98	12.06
8h 5d 5c	100	53.96	14.3768	88.8188	46.04	15.6233	113.104	0.12	19.19	1.98	17.94	21.28	17.62	76.61	13.38
8h 5d 2c	100	52.74	14.0461	88.7777	47.26	15.954	112.524	20.56	18.92	9.36	17.71	0.99	16.78	69.09	12.06
8h 5d 3c	100	52.01	13.7822	88.328	47.99	16.218	112.652	20.24	18.97	6.14	17.86	0.77	16.93	72.86	11.96
8h 5d 4c	100	50.82	11.9183	78.1663	49.18	18.082	122.568	0.59	19.02	1.49	17.65	1.32	16.88	96.6	11.72
8h 6d 6c	100	53.95	14.5919	90.1546	46.05	15.4084	111.537	0.14	20.3	1.3	18.09	24.18	17.59	74.38	13.54
8h 6d 2c	100	52.75	14.464	91.4081	47.26	15.5361	109.59	20.44	19.19	13.83	17.81	1.4	16.84	64.33	12.19
8h 6d 3c	100	52.08	14.1302	90.4394	47.92	15.8699	110.392	20.73	19.23	8.33	17.93	1.18	16.87	69.75	12.12
8h 6d 4c	100	51.96	13.6982	87.877	48.04	16.3022	113.115	14.59	19.11	7.32	18.33	1.29	17.01	76.8	12.17
8h 6d 5c	100	50.15	11.4548	76.1328	49.85	18.5463	124.021	0.03	19.37	0.05	19.59	0.12	16.79	99.81	11.44
8h 7d 7c	100	52.8	13.2965	83.938	47.2	16.7038	117.972	0.04	19.74	0.14	16.99	0.82	16.88	98.99	13.26
8h 7d 2c	100	52.05	14.5717	93.3177	47.95	15.4284	107.255	18.38	19.79	8.64	18.46	4.12	17.33	68.87	12.53
8h 7d 3c	100	51.45	14.2335	92.2072	48.55	15.7669	108.262	17.12	19.68	7.25	18.62	2.06	17.29	73.57	12.45
8h 7d 4c	100	51.39	13.3232	86.414	48.61	16.677	114.366	3.05	19.52	6.98	18.53	3.68	17.6	86.29	12.5
8h 7d 5c	100	51.32	13.9191	90.414	48.68	16.081	110.105	5.16	19.97	9.74	18.78	5.82	17.7	79.27	12.65
8h 7d 6c	100	51.55	14.1373	91.4098	48.45	15.8629	109.142	9.62	19.9	6.87	19.45	4.34	17.87	79.16	12.77
9c 2d 2c	100	55.61	15.969	95.7221	44.39	14.0313	105.362	0.24	19.03	8.81	18.38	45.69	17.63	45.26	13.81
9c 3c 2c	100	54.18	16.0262	98.6069	45.82	13.9739	101.648	0.96	20.87	2.49	19.39	42.88	17.71	53.66	14.44
9c 3c 2d	100	54.5	15.6694	95.8368	45.5	14.3307	104.988	3.09	19.84	15.55	18.57	32.06	17.77	49.29	13.13
9c 3d 3c	100	54.93	15.0367	91.2494	45.07	14.9631	110.663	0.13	18.9	1.7	17.82	34.6	17.33	63.56	13.71
9c 3d 2c	100	54.53	15.7072	96.014	45.47	14.2929	104.781	3.7	19.87	15.42	18.6	31.53	17.79	49.35	13.16
9c 4c 2c	100	54.33	15.9145	97.6386	45.67	14.0855	102.809	0.69	20.59	2.02	19.15	41.84	17.68	55.45	14.4
9c 4c 2d	100	54.87	15.5778	94.6312	45.13	14.4222	106.528	2.45	19.59	12.68	18.57	35.8	17.68	49.07	13.07
9c 4c 3c	100	53.74	15.662	97.1483	46.26	14.3386	103.317	0.62	20.44	2.1	19.06	40	17.58	57.28	14.15
9c 4c 3d	100	53.98	14.8678	91.8089	46.02	15.1322	109.608	2.16	19.56	10.41	18.59	27.62	17.44	59.8	12.86
9c 4d 4c	100	56.13	16.2872	96.7271	43.87	13.7127	104.186	0.39	18.66	4.43	18.49	50.57	17.92	44.61	14.2
9c 4d 2c	100	54.98	15.7164	95.2896	45.02	14.2836	105.752	3.29	19.63	13.65	18.6	35.72	17.71	47.35	13.11
9c 4d 3c	100	54.05	14.9744	92.3421	45.95	15.0258	109.011	2.44	19.62	11.61	18.62	27.77	17.44	58.18	12.88
9c 5c 2c	100	53.7	15.5898	96.7762	46.3	14.4106	103.741	0.72	20.68	3.07	19.19	35.89	17.73	60.32	14.07
9c 5c 2d	100	54.08	15.078	92.9308	45.92	14.9223	108.328	11.96	19.95	11.28	18.81	17.16	17.33	59.6	12.74
9c 5c 3c	100	53.15	15.3563	96.3084	46.85	14.6434	104.186	0.84	20.24	2.72	18.96	34.99	17.58	61.44	13.86
9c 5c 3d	100	53.25	14.4056	90.1721	46.75	15.5947	111.197	5.98	19.73	10.88	18.65	14.93	17.33	68.2	12.62
9c 5c 4c	100	53.32	15.4011	96.2787	46.68	14.5992	104.253	0.85	20.4	3.15	19.11	33.99	17.66	62	13.9
9c 5c 4d	100	53.52	14.5075	90.355	46.48	15.4928	111.108	6.8	19.58	11.97	18.5	15.59	17.27	65.65	12.6
9c 5d 5c	100	55.06	15.2344	92.227	44.94	14.7659	109.526	0.1	20.41	1.53	18.28	30.09	17.9	68.28	13.98
9c 5d 2c	100	54.2	15.2539	93.8186	45.8	14.7462	107.314	13.72	19.97	12.13	18.78	16.76	17.35	57.39	12.77
9c 5d 3c	100	53.34	14.5538	90.9545	46.66	15.4464	110.341	6.52	19.72	11.36	18.66	16.55	17.33	65.57	12.63
9c 5d 4c	100	53.53	14.5496	90.5985	46.47	15.4507	110.833	6.48	19.59	12.48	18.5	16.21	17.28	64.84	12.6
9c 6c 2c	100	53.44	15.5873	97.234	46.56	14.4124	103.172	0.99	21.27	4.23	19.35	31.09	17.91	63.68	14.12
9c 6c 2d	100	53.68	15.055	93.4837	46.32	14.9452	107.554	11.12	20.05	10.19	18.92	18.07	17.43	60.62	12.78
9c 6c 3c	100	53.01	15.3458	96.4995	46.99	14.654	103.948	0.77	20.92	2.35	19.1	32.58	17.75	64.3	13.92
9c 6c 3d	100	53.13	14.5699	91.411	46.87	15.4303	109.738	6.78	19.9	10.22	18.86	15.87	17.49	67.13	12.69
9c 6c 4c	100	53.25	15.3963	96.3824	46.75	14.6038	104.121	0.62	20.88	2.26	19.09	32.23	17.81	64.89	14.02
9c 6c 4d	100	53.55	14.7767	91.9883	46.45	15.2237	109.238	7.09	19.83	11.16	18.74	18.13	17.46	63.62	12.75
9c 6c 5c	100	51.98	14.4905	92.9243	48.02	15.5097	107.66	0.39	20.31	1.5	18.76	18.67	17.84	79.44	13.59
9c 6c 5d	100	51.92	13.0803	83.9741	48.08	16.92	117.309	0.38	19.88	2.01	18.71	5.88	17.63	91.73	12.64
9c 6d 6c	100	54.62	15.1759	92.6123	45.38	14.8242	108.893	0.08	21.49	1.31	18.75	26.26	17.93	72.34	14.1
9c 6d 2c	100	53.81	15.2596	94.5324	46.19	14.7406	106.37	13.88	20.07	10.77	18.88	17.31	17.4	58.03	12.8
9c 6d 3c	100	53.23	14.7447	92.3388	46.77	15.2555	108.719	8.28	19.91	11.01	18.85	16.82	17.41	63.89	12.67
9c 6d 4c	100	53.57	14.8509	92.4114	46.43	15.1496	108.758	7.68	19.84	11.87	18.72	18.15	17.43	62.3	12.75
9c 6d 5c	100	51.94	13.106	84.1172	48.06	16.8942	117.163	0.45	19.68	2.32	18.71	6.9	17.59	90.33	12.59
9c 7c 2c	100	53.08	15.5623	97.7309	46.92	14.4382	102.571	1.4	21.37	2.43	19.71	32.73	18.08	63.45	13.97
9c 7c 2d	100	53.01	14.9458	93.9888	46.99	15.0544	106.782	9.82	20.48	8.82	19.24	15.64	17.63	65.72	12.9
9c 7c 3c	100	52.63	15.2517	96.5939	47.37	14.7484	103.785	1.19	21	2.31	19.57	28.34	17.93	68.17	13.89
9c 7c 3d	100	52.5	14.3776	91.2857	47.5	15.6226	109.633	4.94	20.27	7.37	19.03	13.56	17.77	74.13	12.9
9c 7c 4c	100	52.86	15.1458	95.5094	47.14	14.8543	105.036	0.91	20.8	2.2	19.66	24.2	17.96	72.69	14
9c 7c 4d	100	53.13	14.5679	91.3935	46.87	15.4323	109.759	3.84	20.37	7.92	19.07	17.1	17.77	71.14	12.98
9c 7c 5c	100	52.25	14.8946	95.0269	47.75	15.1053	105.44	0.64	20.13	2.3	19.23	25.15	17.96	71.91	13.64
9c 7c 5d	100	52.23	14.3151	91.3606	47.77	15.6852	109.448	7.82	19.92	8.81	19.14	9.92	17.94	73.46	12.65
9c 7c 6c	100	51.94	14.5243	93.208	48.06	15.4754	107.339	0.51	20.07	2.33	19.16	13.84	18.1	83.32	13.77
9c 7c 6d	100	51.85	13.7089	88.1292	48.15	16.2911	112.784	0.82	19.95	2.62	19.21	8.56	17.84	88.01	13.09
9c 7d 7c	100	53.51	13.9118	86.6692	46.49	16.0884	115.342	0.05	21.59	0.24	18.7	1.2	17.62	98.5	13.85
9c 7d 2c	100	53.03	15.0112	94.3629	46.97	14.989	106.365	10.92	20.53	8.06	19.26	15.82	17.62	65.2	12.93
9c 7d 3c	100	52.5	14.4311	91.6308	47.5	15.5689	109.25	5.45	20.27	7.37	19.04	14.25	17.72	72.93	12.89
9c 7d 4c	100	53.05	14.5226	91.2483	46.95	15.4776	109.891	4.03	20.33	7.03	19.09	16.81	17.73	72.13	13
9c 7d 5c	100	52.14	14.2394	91.0321	47.86	15.7607	109.77	7.72	19.89	8.7	19.11	8.9	17.93	74.68	12.65
9c 7d 6c	100	51.76	13.6258	87.7568	48.24	16.3743	113.136	0.77	19.97	2.31	19.2	7.36	17.84	89.56	13.08
9c 8c 2c	100	53.62	15.727	97.76	46.38	14.2728	102.589	2.78	21.48	5.27	20.35	24.04	18.58	67.92	14.12
9c 8c 2d	100	53.79	15.1861	94.1018	46.21	14.8142	106.869	16.06	21.09	5.48	19.55	11.02	17.72	67.44	13.01
9c 8c 3c	100	53.35	15.6556	97.8145	46.65	14.345	102.504	2.71	21.42	5.78	20.22	24.46	18.54	67.05	13.98
9c 8c 3d	100	53.33	14.912	93.2074	46.67	15.0882	107.763	14.7	20.91	5.52	19.46	8.86	17.77	70.92	12.96
9c 8c 4c	100	53.68	15.4981	96.2312	46.32	14.5019	104.369	1.63	21.29	4.25	20.19	22.09	18.48	72.04	14.18
9c 8c 4d	100	54.25	15.1419	93.0406	45.75	14.858	108.251	12.65	20.84	6.3	19.44	12.75	17.84	68.3	13.19
9c 8c 5c	100	52.05	14.6302	93.6943	47.95	15.3702	106.848	0.97	20.71	3.07	19.42	15.12	18.1	80.83	13.73
9c 8c 5d	100	52.08	13.3223	85.2642	47.92	16.6778	116.018	0.64	20.14	2.28	19.08	6.37	17.77	90.71	12.82
9c 8c 6c	100	51.77	14.4349	92.9465	48.23	15.5652	107.571	0.66	20.13	2.79	19.38	10.94	18.49	85.61	13.71
9c 8c 6d	100	51.83	13.4442	86.4552	48.17	16.5558	114.577	0.55	20.05	1.67	19.27	4.51	18.05	93.28	13.08
9c 8c 7c	100	52.39	14.9106	94.8768	47.61	15.0896	105.638	0.43	20.08	2.22	19.26	21.01	18.49	76.34	13.77
9c 8c 7d	100	52.33	14.3791	91.6	47.67	15.6211	109.221	1	20.32	6.25	19.49	14.15	18.49	78.6	13.16
9c 8d 8c	100	54.84	15.3103	93.0577	45.16	14.6899	108.432	0.26	20.84	1.46	19.29	21.97	18.24	76.32	14.37
9c 8d 2c	100	53.89	15.3475	94.9257	46.11	14.6525	105.931	17.86	21.04	5.79	19.55	10.5	17.69	65.85	13.06
9c 8d 3c	100	53.41	15.0538	93.9543	46.59	14.9461	106.93	15.78	20.83	6.22	19.49	8.88	17.76	69.12	12.99
9c 8d 4c	100	54.24	15.1903	93.344	45.76	14.8099	107.892	12.99	20.76	6.92	19.5	12.08	17.84	68.01	13.22
9c 8d 5c	100	52.07	13.3286	85.3237	47.93	16.6715	115.945	0.71	20.04	2.61	19.11	6.39	17.77	90.28	12.79
9c 8d 6c	100	51.81	13.4254	86.3794	48.19	16.5747	114.643	0.51	19.99	1.59	19.2	4.32	18.06	93.57	13.08
9c 8d 7c	100	52.39	14.4324	91.8294	47.61	15.5677	108.991	0.93	20.31	6.7	19.46	14.38	18.5	77.99	13.18
9d 9c 2c	100	56	16.3771	97.4822	44	13.6229	103.204	0.24	18.56	1.91	18.08	54.42	17.9	43.43	14.39
9d 9c 3c	100	55.53	16.0717	96.4708	44.47	13.9283	104.407	0.21	17.94	1.73	17.72	50.55	17.77	47.51	14.19
9d 9c 4c	100	56.22	16.327	96.7975	43.78	13.6731	104.114	0.17	18.26	1.7	17.92	52.74	17.89	45.39	14.44
9d 9c 5c	100	55.35	15.8199	95.265	44.65	14.1804	105.872	0.29	18.95	2.52	18.15	42.7	17.78	54.49	14.16
9d 9c 6c	100	54.91	15.6936	95.2627	45.09	14.3066	105.771	0.33	19.1	2.33	18.48	38.73	17.77	58.61	14.19
9d 9c 7c	100	54.31	15.4739	94.9745	45.69	14.5264	105.975	0.45	19.76	2.81	18.79	32.76	17.85	63.97	14.08
9d 9c 8c	100	55.05	15.7912	95.6241	44.95	14.209	105.36	0.75	20.1	4.13	19.4	31.77	18.2	63.35	14.3
9h 9d 9c	100	57.84	18.7831	108.255	42.16	11.2172	88.6795	7.75	19.25	43.53	18.95	48.53	18.57	0.19	15.36
9d 3c 2c	100	54.56	15.7684	96.3297	45.44	14.232	104.411	3.71	19.81	15.71	18.55	33.07	17.74	47.52	13.16
9d 4c 2c	100	54.94	15.6809	95.1335	45.06	14.3191	105.934	2.67	19.57	13.28	18.53	37.49	17.62	46.56	13.08
9d 4c 3c	100	54.12	15.0779	92.8618	45.88	14.9223	108.423	3	19.57	12.93	18.57	28.19	17.4	55.88	12.86
9d 5c 2c	100	54.11	15.1319	93.2196	45.89	14.8684	107.996	12.19	19.96	11.21	18.76	18.03	17.32	58.57	12.76
9d 5c 3c	100	53.35	14.5644	90.9994	46.65	15.4357	110.294	7.14	19.73	11.29	18.58	16.75	17.26	64.82	12.6
9d 5c 4c	100	53.65	14.6784	91.2048	46.35	15.322	110.181	8.24	19.55	12.81	18.44	16.64	17.19	62.31	12.59
9d 6c 2c	100	53.73	15.1535	94.0037	46.27	14.8466	106.965	12.56	20.03	10.12	18.87	18.52	17.38	58.79	12.77
9d 6c 3c	100	53.2	14.6935	92.0635	46.8	15.3067	109.024	8.39	19.87	10.41	18.81	16.8	17.39	64.39	12.65
9d 6c 4c	100	53.62	14.8792	92.5004	46.38	15.1212	108.673	8.06	19.81	12.16	18.67	18.46	17.38	61.31	12.72
9d 6c 5c	100	51.99	13.1303	84.1798	48.01	16.87	117.136	0.54	19.58	2.9	18.61	7.02	17.55	89.54	12.57
9d 7c 2c	100	53.04	15.0197	94.3934	46.96	14.9804	106.333	11.07	20.5	8.16	19.26	16.19	17.59	64.58	12.9
9d 7c 3c	100	52.52	14.4506	91.7105	47.48	15.5497	109.172	5.68	20.26	7.53	19.03	14.39	17.71	72.4	12.87
9d 7c 4c	100	53.06	14.5093	91.1526	46.94	15.4909	110.002	3.92	20.33	7.69	19.06	16.19	17.72	72.2	12.99
9d 7c 5c	100	52.18	14.2602	91.0984	47.82	15.74	109.714	7.45	19.91	9.17	19.08	9.23	17.91	74.15	12.64
9d 7c 6c	100	51.85	13.6733	87.9109	48.15	16.3269	113.017	0.71	20.03	2.26	19.18	8.81	17.81	88.22	13.07
9d 8c 2c	100	53.86	15.2999	94.6831	46.14	14.7002	106.208	17.36	21.09	5.71	19.55	10.07	17.7	66.86	13.07
9d 8c 3c	100	53.48	15.1269	94.2925	46.52	14.8732	106.561	16.85	20.92	6.28	19.47	8.59	17.72	68.28	12.97
9d 8c 4c	100	54.24	15.1635	93.1938	45.76	14.8366	108.067	12.67	20.82	7.07	19.46	11.88	17.82	68.38	13.21
9d 8c 5c	100	52.07	13.3279	85.3267	47.93	16.672	115.938	0.69	20.08	2.5	19.14	5.93	17.8	90.88	12.82
9d 8c 6c	100	51.77	13.3717	86.0921	48.23	16.6281	114.929	0.49	19.97	1.57	19.2	3.76	18.05	94.18	13.05
9d 8c 7c	100	52.37	14.3954	91.6306	47.63	15.6047	109.202	0.87	20.34	6.45	19.48	14.14	18.47	78.54	13.18
9h 9d 2c	100	56.26	16.5745	98.2042	43.74	13.4257	102.311	0.46	17.74	5.43	18.15	60.82	17.8	33.28	14.06
9h 9d 3c	100	55.82	16.393	97.8851	44.18	13.6071	102.673	0.36	17.39	9	18.04	54.98	17.77	35.66	13.84
9h 9d 4c	100	56.64	16.7611	98.6496	43.36	13.2392	101.766	0.5	17.28	7.07	18.05	62.54	17.89	29.9	14.09
9h 9d 5c	100	55.72	16.0572	96.0506	44.28	13.9429	104.971	0.27	17.65	7.28	17.97	48.14	17.78	44.3	13.86
9h 9d 6c	100	55.27	15.8535	95.6114	44.73	14.1463	105.422	0.36	18.35	2.49	17.65	47.76	17.72	49.38	13.94
9h 9d 7c	100	54.53	15.5202	94.8657	45.47	14.4798	106.159	0.42	18.91	3.5	17.98	37.47	17.75	58.61	13.92
9h 9d 8c	100	55.35	15.8564	95.4996	44.65	14.1437	105.579	0.51	19.3	2.56	18.51	39.03	17.97	57.89	14.28
9h 2d 2c	100	55.89	16.1295	96.2063	44.11	13.8707	104.807	2.24	18.3	20.19	18.01	42.34	17.38	35.23	13.42
9h 3d 3c	100	55.26	15.2148	91.7806	44.74	14.7854	110.153	0.68	17.55	11.45	17.44	37.73	17	50.14	13.33
9h 3d 2c	100	54.64	15.8621	96.7622	45.36	14.1381	103.902	16.78	19.06	20.83	18.35	19.97	17.29	42.41	12.7
9h 4d 4c	100	56.56	16.7458	98.6988	43.44	13.2543	101.695	1.09	18.17	15.03	18.26	56.89	17.65	26.98	13.95
9h 4d 2c	100	55.12	15.8032	95.5762	44.88	14.1972	105.435	18.18	18.97	19.81	18.18	19.31	17.28	42.7	12.68
9h 4d 3c	100	54.17	14.9314	91.8865	45.83	15.0689	109.59	19.08	18.8	15.82	17.96	9.24	17.16	55.86	12.38
9h 5d 5c	100	55.44	15.3392	92.2243	44.56	14.661	109.676	0.17	18.62	5.47	18.22	31.11	17.71	63.25	13.92
9h 5d 2c	100	54.31	15.2266	93.4478	45.69	14.7733	107.789	27.1	19.34	15.38	17.95	2.91	16.92	54.6	12.33
9h 5d 3c	100	53.43	14.3939	89.8069	46.57	15.6065	111.695	22.03	18.81	12.54	17.85	1.62	16.79	63.81	12.13
9h 5d 4c	100	53.69	14.4586	89.7685	46.31	15.5416	111.863	24.3	18.58	13.03	17.79	1.4	16.72	61.27	12.06
9h 6d 6c	100	54.98	15.2004	92.1578	45.02	14.7998	109.578	0.08	19.73	1.69	18.1	31.07	17.74	67.16	13.95
9h 6d 2c	100	53.92	15.2151	94.0682	46.08	14.7851	106.942	24.88	19.19	16.36	18.09	4.67	17.06	54.08	12.36
9h 6d 3c	100	53.33	14.6324	91.4593	46.67	15.3678	109.76	21.85	18.96	14.79	17.98	2.26	16.89	61.11	12.19
9h 6d 4c	100	53.75	14.8278	91.9509	46.25	15.1723	109.356	22.82	18.82	16.55	17.93	2.72	16.88	57.9	12.27
9h 6d 5c	100	52.06	12.7601	81.7062	47.94	17.2401	119.864	1.06	19.22	3.82	18.12	3.81	17.43	91.31	12.27
9h 7d 7c	100	53.76	13.734	85.1582	46.24	16.2665	117.259	0.05	19.75	0.19	17.64	1.13	17.07	98.63	13.69
9h 7d 2c	100	53.11	14.9951	94.1202	46.89	15.0051	106.66	16.63	19.88	11.36	18.64	11.22	17.44	60.78	12.53
9h 7d 3c	100	52.59	14.3154	90.7422	47.41	15.6847	110.268	11.64	19.34	10.82	18.6	7.61	17.3	69.93	12.49
9h 7d 4c	100	53.26	14.4944	90.7097	46.74	15.5056	110.588	8.97	19.26	12.05	18.43	13.19	17.28	65.8	12.56
9h 7d 5c	100	52.3	14.2555	90.8533	47.7	15.7448	110.032	13.17	19.53	12.55	18.62	2.62	17.36	71.66	12.41
9h 7d 6c	100	51.92	13.5624	87.0669	48.08	16.438	113.97	0.83	20.33	2.18	18.87	8.22	17.8	88.77	12.98
9h 8d 8c	100	55.15	15.3142	92.569	44.85	14.6865	109.141	0.1	20.43	0.88	18.51	25.22	17.92	73.8	14.38
